t	tintnext	sstore	sstored	stry	sdid	snext
482.02	1.04988	1.04988	0.982855			
483.07	0.982855	0.982855	0.892583			
484.053	0.892583	0.892583	0.886845			
484.945	0.886845	0.656576	0.595377			
485.602	0.595377	0.384932	1.60472			
485.987	1.60472	0.747568	0.683376			
486.734	0.683376	0.683376	2.67224			
487.418	2.67224	2.67224	2.68368			
490.09	2.68368	0.577619	0.880779			
490.668	0.880779	0.880779	1.24018			
491.548	1.24018	1.24018	1.31209			
492.789	1.31209	0.853769	0.972173			
493.642	0.972173	0.972173	1.09537			
494.614	1.09537	1.09537	1.04278			
495.71	1.04278	0.846434	0.89099			
496.556	0.89099	0.89099	1.02116			
497.447	1.02116	1.02116	1.08171			
498.468	1.08171	0.962201	0.981593			
499.431	0.981593	0.981593	0.95115			
500.412	0.95115	0.95115	0.903049			
501.363	0.903049	0.903049	0.895567			
502.266	0.895567	0.647369	0.714674			
502.914	0.714674	0.526327	0.570437			
503.44	0.570437	0.487517	0.501724			
503.928	0.501724	0.501724	0.47638			
504.429	0.47638	0.47638	0.487406			
504.906	0.487406	0.487406	0.510945			
505.393	0.510945	0.510945	0.538537			
505.904	0.538537	0.538537	0.561772			
506.443	0.561772	0.561772	0.577676			
507.004	0.577676	0.577676	0.587494			
507.582	0.587494	0.587494	0.593318			
508.17	0.593318	0.593318	0.596433			
508.763	0.596433	0.596433	0.597489			
509.359	0.597489	0.597489	0.606618			
509.957	0.606618	0.606618	0.596446			
510.563	0.596446	0.596446	0.593115			
511.16	0.593115	0.593115	0.593031			
511.753	0.593031	0.593031	0.591091			
512.346	0.591091	0.591091	0.587152			
512.937	0.587152	0.587152	0.582643			
513.524	0.582643	0.582643	0.578165			
514.107	0.578165	0.578165	0.573511			
514.685	0.573511	0.573511	0.568457			
515.259	0.568457	0.568457	0.563099			
515.827	0.563099	0.563099	0.557676			
516.39	0.557676	0.557676	0.55231			
516.948	0.55231	0.55231	0.546971			
517.5	0.546971	0.546971	0.541608			
518.047	0.541608	0.541608	0.536252			
518.589	0.536252	0.536252	0.53099			
519.125	0.53099	0.53099	0.525869			
519.656	0.525869	0.525869	0.520871			
520.182	0.520871	0.520871	0.515955			
520.703	0.515955	0.515955	0.511121			
521.219	0.511121	0.511121	0.506414			
521.73	0.506414	0.506414	0.501865			
522.236	0.501865	0.501865	0.497458			
522.738	0.497458	0.497458	0.493152			
523.236	0.493152	0.493152	0.488933			
523.729	0.488933	0.488933	0.484829			
524.218	0.484829	0.484829	0.480871			
524.702	0.480871	0.480871	0.47705			
525.183	0.47705	0.47705	0.473326			
525.66	0.473326	0.473326	0.469672			
526.134	0.469672	0.469672	0.466106			
526.603	0.466106	0.466106	0.462667			
527.069	0.462667	0.462667	0.459359			
527.532	0.459359	0.459359	0.456141			
527.991	0.456141	0.456141	0.452972			
528.448	0.452972	0.452972	0.449861			
528.901	0.449861	0.449861	0.446852			
529.35	0.446852	0.446852	0.443971			
529.797	0.443971	0.443971	0.441182			
530.241	0.441182	0.441182	0.438427			
530.682	0.438427	0.438427	0.435693			
531.121	0.435693	0.435693	0.433035			
531.557	0.433035	0.433035	0.430502			
531.99	0.430502	0.430502	0.428074			
532.42	0.428074	0.428074	0.425675			
532.848	0.425675	0.425675	0.423262			
533.274	0.423262	0.423262	0.420884			
533.697	0.420884	0.420884	0.418627			
534.118	0.418627	0.418627	0.416502			
534.537	0.416502	0.416502	0.41442			
534.953	0.41442	0.41442	0.412289			
535.368	0.412289	0.412289	0.410138			
535.78	0.410138	0.410138	0.408089			
536.19	0.408089	0.408089	0.40621			
536.598	0.40621	0.40621	0.404416			
537.004	0.404416	0.404416	0.402553			
537.409	0.402553	0.402553	0.400594			
537.811	0.400594	0.400594	0.398689			
