lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
80	0	0	0	0	_fPhytInSum_	-	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	maximum_algal_fraction_in_organic_P_input	-	-1	maximum_algal_fraction_in_organic_P_input																																																fPhynSum	dummy
81	0	0	0	0	_cNLoad_	gN/m2/day	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	N_loading	-	-1	N_loading																																																cNLoad	dummy
82	0	0	0	0	_cNLoadSum_	gN/m2/day	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	summer_N_loading	-	-1	summer_N_loading																																																cNLodSum	dummy
83	0	0	0	0	_cNLoadWin_	gN/m2/day	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	winter_N_loading	-	-1	winter_N_loading																																																cNLodWin	dummy
84	0	0	0	0	_cNPLoadMeas_	gN/gP	0	0	7	7	7	7	TRUE	TRUE	TRUE	N/P_loading_if_P_is_measured_and_N_not	-	-1	N/P_loading_if_P_is_measured_and_N_not																																																cNPLMeas	dummy
85	0	0	0	0	_cNPPhytIn_	gP/gDW	0	0	7	7	7	7	TRUE	TRUE	TRUE	N/P_ratio_of_algal_input	-	-1	N/P_ratio_of_algal_input																																																cNPPytIn	dummy
86	0	0	0	0	_cNPDetIn_	gP/gDW	0	0	7	7	7	7	TRUE	TRUE	TRUE	N/P_ratio_of_detrital_input	-	-1	N/P_ratio_of_detrital_input																																																cNPDetIn	dummy
87	0	0	0	0	_fNH4DissIn_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	NH4_fraction_of_dissolved_N_load_(if_NH4_not_measured)	-	-1	NH4_fraction_of_dissolved_N_load_(if_NH4_not_measured)																																																fNH4ssIn	dummy
88	0	0	0	0	_cNDPhytIn_	gN/gDW	0	0	0.07	0.07	0.07	0.07	TRUE	TRUE	TRUE	N/D_ratio_of_algal_input	-	-1	N/D_ratio_of_algal_input																																																cNDPytIn	dummy
89	0	0	0	0	_cNDDetIn_	gN/gDW	0	0	0.07	0.07	0.07	0.07	TRUE	TRUE	TRUE	N/D_ratio_of_detrital_input	-	-1	N/D_ratio_of_detrital_input																																																cNDDetIn	dummy
