RunId	Time	_sDDetS_	_sDDetW_	_sDHumS_	_sDIMS_	_sDIMW_	_sNH4S_	_sNH4W_	_sNO3S_	_sNO3W_	_sO2W_	_sPAIMS_	_sPAIMW_	_sPO4S_	_sPO4W_	_sDPhytW_	_sDPhytS_	_sDElod_	_sDChar_	_sDCera_	_sDLemn_	_sDNymp_	_sDHelo_	_oChla_	_aSecchi_	-1
0	69	367.711	1.72561	3275.83	32689.6	0.606153	0.128795	1.88634	0.10621	3.37421	12.3363	14.3989	6.78817e-006	0.187988	0.718522	0.0196638	0.0217466	1.39183	0.749237	1.19336	1.01251	0.611709	0.736823	0.207307	0.5	-1
0	70	367.75	1.72486	3275.93	32689.4	0.605358	0.128735	1.88143	0.105966	3.38271	12.2958	14.3412	6.77114e-006	0.187675	0.718814	0.0205703	0.0214469	1.41704	0.752529	1.20583	1.02883	0.606205	0.733565	0.216691	0.5	-1
0	71	367.78	1.72428	3276.02	32689.1	0.604699	0.128673	1.8772	0.105754	3.38947	12.2624	14.2945	6.75673e-006	0.187428	0.719023	0.0213957	0.0212924	1.43834	0.755431	1.21634	1.04297	0.601765	0.730958	0.225586	0.5	-1
0	72	367.81	1.72369	3276.11	32688.9	0.604002	0.128599	1.87259	0.105523	3.39635	12.2272	14.2463	6.74137e-006	0.187181	0.719216	0.0223424	0.0212167	1.46117	0.758652	1.22757	1.05847	0.597201	0.728299	0.235477	0.5	-1
0	73	367.841	1.72307	3276.21	32688.7	0.603205	0.128502	1.86714	0.105251	3.40394	12.1872	14.1924	6.72359e-006	0.186913	0.719404	0.0235306	0.0212342	1.4878	0.762536	1.24063	1.077	0.592111	0.725358	0.247765	0.5	-1
0	74	367.871	1.72246	3276.32	32688.4	0.602341	0.128385	1.86104	0.104947	3.41186	12.1441	14.1354	6.70413e-006	0.186641	0.719573	0.0249526	0.0213737	1.51722	0.766967	1.25502	1.09801	0.586755	0.722292	0.262555	0.5	-1
0	75	367.892	1.72202	3276.41	32688.2	0.601658	0.128283	1.85606	0.104701	3.41793	12.1102	14.0912	6.68853e-006	0.186434	0.719682	0.0261896	0.021571	1.54098	0.770641	1.26661	1.1154	0.582617	0.719944	0.275997	0.5	-1
0	76	367.913	1.7216	3276.5	32688.1	0.600939	0.128167	1.85069	0.104437	3.42414	12.0747	14.0455	6.67203e-006	0.186226	0.719776	0.027607	0.0218605	1.56644	0.77466	1.27899	1.13444	0.578355	0.717545	0.290828	0.5	-1
0	77	367.935	1.72117	3276.6	32687.8	0.600079	0.12802	1.8441	0.104116	3.43135	12.0326	13.9919	6.65218e-006	0.185991	0.719862	0.0294711	0.0223167	1.59746	0.779661	1.29403	1.15821	0.573381	0.714771	0.310032	0.5	-1
0	78	367.935	1.72117	3276.6	32687.8	0.600079	0.12802	1.8441	0.104116	3.43135	12.0326	13.9919	6.65218e-006	0.185991	0.719862	0.0294711	0.0223167	1.59746	0.779661	1.29403	1.15821	0.573381	0.714771	0.310032	0.5	-1
0	79	367.955	1.7208	3276.71	32687.6	0.59922	0.127861	1.83731	0.10379	3.43837	11.9907	13.9394	6.63215e-006	0.185765	0.71992	0.031546	0.0228964	1.62923	0.784885	1.30939	1.1832	0.568519	0.712087	0.331834	0.5	-1
0	80	367.972	1.72051	3276.82	32687.4	0.598329	0.127687	1.83008	0.103446	3.44543	11.9477	13.886	6.61124e-006	0.185543	0.71995	0.0339449	0.0236314	1.66292	0.790523	1.32561	1.21041	0.563597	0.709397	0.356931	0.5	-1
0	81	367.986	1.72031	3276.91	32687.2	0.597495	0.127514	1.8231	0.10312	3.45189	11.9077	13.8368	6.59148e-006	0.185342	0.719951	0.0364551	0.0244515	1.69525	0.796017	1.34113	1.23721	0.559079	0.706954	0.38354	0.5	-1
0	82	367.997	1.7202	3277.01	32687	0.596724	0.127346	1.8165	0.102817	3.45771	11.8711	13.7921	6.57313e-006	0.185163	0.719928	0.0390253	0.0253278	1.72576	0.801264	1.35573	1.26311	0.554989	0.704763	0.410872	0.5	-1
0	83	368.006	1.72017	3277.1	32686.8	0.595935	0.127167	1.80957	0.102503	3.46355	11.8339	13.7469	6.55422e-006	0.184985	0.719881	0.0419448	0.0263537	1.75771	0.806818	1.37096	1.29088	0.55087	0.702578	0.441512	0.5	-1
0	84	368.014	1.72022	3277.2	32686.6	0.595036	0.126954	1.80148	0.102142	3.47004	11.792	13.6963	6.53255e-006	0.18479	0.719797	0.0456653	0.0276914	1.79492	0.813353	1.38865	1.32407	0.546268	0.700162	0.480042	0.5	-1
0	85	368.02	1.72042	3277.32	32686.4	0.594048	0.126709	1.79231	0.101742	3.47701	11.7464	13.6414	6.50851e-006	0.184581	0.719664	0.0503263	0.0293951	1.83698	0.820812	1.40857	1.36268	0.541301	0.697584	0.528412	0.5	-1
0	86	368.023	1.72067	3277.41	32686.2	0.593267	0.126507	1.78485	0.101424	3.48239	11.7107	13.5986	6.48932e-006	0.18442	0.719527	0.054497	0.0309334	1.87109	0.826907	1.42466	1.39484	0.537442	0.695604	0.573716	0.5	-1
0	87	368.024	1.72104	3277.5	32686.1	0.592445	0.126287	1.77681	0.101087	3.48793	11.6736	13.5541	6.469e-006	0.184254	0.71935	0.0594189	0.0327553	1.90781	0.833508	1.44193	1.43033	0.533442	0.693572	0.625201	0.5	-1
0	88	368.023	1.72162	3277.61	32685.9	0.591485	0.12602	1.76714	0.100692	3.49424	11.6309	13.5028	6.44505e-006	0.184063	0.719099	0.0659694	0.0351802	1.95181	0.841465	1.46255	1.47406	0.528845	0.691263	0.69279	0.5	-1
0	89	368.023	1.72162	3277.61	32685.9	0.591485	0.12602	1.76714	0.100692	3.49424	11.6309	13.5028	6.44505e-006	0.184063	0.719099	0.0659694	0.0351802	1.95181	0.841465	1.46255	1.47406	0.528845	0.691263	0.69279	0.5	-1
0	90	368.02	1.72234	3277.72	32685.7	0.590551	0.12575	1.75742	0.100304	3.50021	11.5901	13.4535	6.42148e-006	0.183881	0.718802	0.0733168	0.0378909	1.99584	0.849467	1.4831	1.51914	0.524442	0.689079	0.770191	0.5	-1
0	91	368.014	1.72327	3277.83	32685.5	0.58959	0.125463	1.7471	0.099904	3.50618	11.5488	13.4034	6.39694e-006	0.183694	0.718439	0.0820649	0.0410979	2.04244	0.857971	1.50476	1.56833	0.51998	0.686893	0.861696	0.5	-1
0	92	368.006	1.72433	3277.93	32685.3	0.588672	0.125178	1.7369	0.0995198	3.51171	11.5102	13.3561	6.3732e-006	0.183517	0.718031	0.0917521	0.0446185	2.08821	0.866349	1.52596	1.61813	0.515779	0.684861	0.964008	0.5	-1
