t	tintnext	sstore	sstored	stry	sdid	snext
542.78	0.613867	0.613867	0.633384			
543.394	0.633384	0.633384	0.629849			
544.028	0.629849	0.629849	0.600782			
544.658	0.600782	0.600782	0.578139			
545.258	0.578139	0.578139	0.589703			
545.836	0.589703	0.589703	0.625893			
546.426	0.625893	0.625893	0.641625			
547.052	0.641625	0.641625	0.607521			
547.694	0.607521	0.607521	0.559906			
548.301	0.559906	0.559906	0.555356			
548.861	0.555356	0.555356	0.605689			
549.416	0.605689	0.605689	0.657735			
550.022	0.657735	0.657735	0.634707			
550.68	0.634707	0.550125	0.566149			
551.23	0.566149	0.566149	0.620518			
551.796	0.620518	0.620518	0.647944			
552.417	0.647944	0.647944	0.59998			
553.065	0.59998	0.528434	0.540694			
553.593	0.540694	0.540694	0.616685			
554.134	0.616685	0.616685	0.672183			
554.75	0.672183	0.672183	0.616397			
555.423	0.616397	0.503247	0.528619			
555.926	0.528619	0.528619	0.631252			
556.454	0.631252	0.631252	0.696562			
557.086	0.696562	0.606541	0.623547			
557.692	0.623547	0.623547	0.580827			
558.316	0.580827	0.580827	0.5243			
558.897	0.5243	0.5243	0.523987			
559.421	0.523987	0.523987	0.589361			
559.945	0.589361	0.589361	0.651952			
560.534	0.651952	0.651952	0.617033			
561.186	0.617033	0.510231	0.533685			
561.696	0.533685	0.533685	0.611889			
562.23	0.611889	0.611889	0.653203			
562.842	0.653203	0.583897	0.594675			
563.426	0.594675	0.594675	0.569458			
564.021	0.569458	0.569458	0.535363			
564.59	0.535363	0.535363	0.533676			
565.125	0.533676	0.533676	0.571553			
565.659	0.571553	0.571553	0.607626			
566.231	0.607626	0.607626	0.589114			
566.838	0.589114	0.589114	0.531529			
567.427	0.531529	0.531529	0.504105			
567.959	0.504105	0.504105	0.543432			
568.463	0.543432	0.543432	0.615462			
569.006	0.615462	0.615462	0.627108			
569.622	0.627108	0.542921	0.559063			
570.165	0.559063	0.559063	0.575661			
570.724	0.575661	0.575661	0.569127			
571.3	0.569127	0.569127	0.543159			
571.869	0.543159	0.543159	0.528152			
572.412	0.528152	0.528152	0.544357			
572.94	0.544357	0.544357	0.576756			
573.484	0.576756	0.576756	0.584152			
574.061	0.584152	0.584152	0.550137			
574.645	0.550137	0.550137	0.513782			
575.195	0.513782	0.513782	0.519961			
575.709	0.519961	0.519961	0.56874			
576.229	0.56874	0.56874	0.605457			
576.798	0.605457	0.605457	0.573425			
577.403	0.573425	0.504371	0.516323			
577.908	0.516323	0.516323	0.574916			
578.424	0.574916	0.574916	0.613533			
578.999	0.613533	0.613533	0.569984			
579.612	0.569984	0.489335	0.50511			
580.102	0.50511	0.50511	0.581547			
580.607	0.581547	0.581547	0.63343			
581.188	0.63343	0.63343	0.575632			
581.822	0.575632	0.467949	0.492174			
582.29	0.492174	0.492174	0.595098			
582.782	0.595098	0.595098	0.663953			
583.377	0.663953	0.577023	0.59358			
583.954	0.59358	0.59358	0.547439			
584.548	0.547439	0.547439	0.493133			
585.095	0.493133	0.493133	0.496583			
585.588	0.496583	0.496583	0.56421			
586.085	0.56421	0.56421	0.62516			
586.649	0.62516	0.62516	0.586702			
587.274	0.586702	0.481216	0.504652			
587.755	0.504652	0.504652	0.58524			
588.26	0.58524	0.58524	0.632572			
588.845	0.632572	0.565195	0.575694			
589.411	0.575694	0.575694	0.544263			
589.986	0.544263	0.544263	0.507011			
590.531	0.507011	0.507011	0.510194			
591.038	0.510194	0.510194	0.557678			
591.548	0.557678	0.557678	0.598048			
592.105	0.598048	0.598048	0.571184			
592.703	0.571184	0.501877	0.513944			
593.205	0.513944	0.513944	0.56774			
593.719	0.56774	0.56774	0.602176			
594.287	0.602176	0.602176	0.562256			
594.889	0.562256	0.490312	0.503364			
595.38	0.503364	0.503364	0.572811			
595.883	0.572811	0.572811	0.622268			
596.456	0.622268	0.622268	0.572613			
597.078	0.572613	0.473972	0.495406			
597.552	0.495406	0.495406	0.58714			
598.047	0.58714	0.58714	0.648727			
598.634	0.648727	0.574991	0.587336			
599.209	0.587336	0.587336	0.543037			
599.797	0.543037	0.543037	0.494771			
600.34	0.494771	0.494771	0.502075			
600.835	0.502075	0.502075	0.567511			
601.337	0.567511	0.567511	0.621594			
601.904	0.621594	0.621594	0.581187			
602.526	0.581187	0.483269	0.504359			
603.009	0.504359	0.504359	0.586524			
603.513	0.586524	0.586524	0.63835			
604.1	0.63835	0.572515	0.582342			
