RunId	Time	_sPO4W_	_sO2W_	_sDDiatW_	_sDZoo_	_sDFiAd_	_sDVeg_	_sDBent_	_oPTotW_	_oChla_	_aSecchi_	_aDError_	_aNError_	_aPError_	-1
0	1644	0.0315122	11.3775	4.40327	0.358569	2.30295	0.491877	1.15646	0.265569	127.638	0.277489	1.45519e-011	-1.98952e-013	2.13163e-014	-1
0	1645	0.026424	11.3746	4.41979	0.359374	2.28988	0.490302	1.15187	0.265612	130.481	0.274108	2.18279e-011	-1.98952e-013	1.42109e-014	-1
0	1646	0.0212236	11.3692	4.43429	0.360114	2.27639	0.488488	1.14739	0.265614	133.406	0.270704	1.45519e-011	-1.98952e-013	1.42109e-014	-1
0	1647	0.0123388	11.3518	4.45409	0.36113	2.25215	0.484746	1.13998	0.265519	138.677	0.264758	1.45519e-011	-1.98952e-013	1.42109e-014	-1
0	1648	0.00875121	11.3394	4.46065	0.36144	2.24089	0.482799	1.13681	0.265443	141.079	0.262126	2.18279e-011	-1.7053e-013	1.42109e-014	-1
0	1649	0.00643389	11.327	4.46469	0.361605	2.23197	0.481165	1.13443	0.265377	143.02	0.260034	1.45519e-011	-1.98952e-013	1.42109e-014	-1
0	1650	0.00416438	11.302	4.46893	0.361714	2.21836	0.478512	1.13101	0.265291	145.925	0.256961	7.27596e-012	-1.98952e-013	1.42109e-014	-1
0	1651	0.00321905	11.2698	4.47083	0.361657	2.20571	0.47588	1.12805	0.265248	148.528	0.25426	7.27596e-012	-1.7053e-013	1.06581e-014	-1
0	1652	0.00279775	11.2306	4.47088	0.361464	2.19404	0.473309	1.12551	0.265245	150.876	0.251867	1.45519e-011	-1.98952e-013	1.06581e-014	-1
0	1653	0.00253317	11.1809	4.46926	0.361121	2.18199	0.47051	1.12309	0.265275	153.24	0.249496	1.45519e-011	-1.98952e-013	1.42109e-014	-1
0	1654	0.00234378	11.1241	4.46583	0.360615	2.16951	0.467461	1.12079	0.265333	155.626	0.247141	1.45519e-011	-1.7053e-013	2.13163e-014	-1
