RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_oO2WHyp_	_aDVeg_	_oO2WEpi_	_oPTotWHyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	_aDepthError_	-1
0	112	2	3.56517	1.78298	0.000298015	6.91704	0.127575	11.2066	0.921244	6.70064	0.602426	0.385006	6.49542	-2.91038e-011	-5.68434e-014	-7.10543e-015	-2.84217e-014	0	0	-1
0	113	2	3.61858	1.85245	0.000298109	6.91704	0.131158	11.1133	0.921244	6.70064	0.611295	0.38501	6.18968	-2.91038e-011	-1.13687e-013	-7.10543e-015	-2.13163e-014	0	0	-1
0	114	2	3.67561	1.92831	0.000298191	6.91704	0.134991	11.0232	0.921244	6.70064	0.619894	0.385079	5.92435	-2.91038e-011	-5.68434e-014	0	-2.13163e-014	0	0	-1
0	115	2	3.73119	2.00392	0.000298256	6.91704	0.138815	10.9418	0.921244	6.70064	0.627591	0.385204	5.71265	-3.63798e-011	-5.68434e-014	-7.10543e-015	-1.42109e-014	0	0	-1
0	116	2	3.78359	2.0767	0.000298304	6.91704	0.142477	10.8709	0.921244	6.70064	0.634162	0.385369	5.55202	-3.63798e-011	-1.13687e-013	-1.42109e-014	-2.13163e-014	0	0	-1
0	117	2	3.83702	2.15244	0.000298341	6.91704	0.146213	10.8049	0.921244	6.70064	0.640088	0.385576	5.42483	-3.63798e-011	-1.13687e-013	-7.10543e-015	-1.42109e-014	0	0	-1
0	118	2	3.89743	2.23991	0.00029837	6.91704	0.15043	10.7372	0.921244	6.70064	0.645867	0.38585	5.32031	-4.36557e-011	-1.13687e-013	-1.42109e-014	-2.13163e-014	0	0	-1
0	119	2	3.96533	2.34056	0.000298387	6.91704	0.15523	10.668	0.921244	6.70064	0.651313	0.386205	5.24615	-4.36557e-011	-1.7053e-013	-1.42109e-014	-1.42109e-014	0	0	-1
0	120	2	3.95953	2.43557	0.000298391	6.91704	0.158097	10.6302	0.921244	6.70064	0.654025	0.386435	5.22265	-3.63798e-011	-1.13687e-013	-1.42109e-014	-1.42109e-014	0	0	-1
0	121	2	3.99406	2.57894	0.000298387	6.91704	0.163066	10.5708	0.921244	6.70064	0.657973	0.386847	5.21672	-3.63798e-011	-5.68434e-014	-1.42109e-014	-2.13163e-014	0	0	-1
