sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_cLOptRefDiat_	_J_*_s_^-1*_m_^-2	0	0	54	54	
_hLRefDiat_	_J_*_s_^-1*_m_^-2	0	0	1000	1000	
_cChDDiatMin_	_gChl_*_gDW_^-1	0	0	0.004	0.004	
_cChDDiatMax_	_gChl_*_gDW_^-1	0	0	0.012	0.012	
_kDRespDiat_	_d_^-1	0	0	0.1	0.1	
_kLossDiat_	_d_^-1	0	0	0.25	0.25	
_kMortDiatW_	_d_^-1	0	0	0.01	0.01	
_kMortDiatS_	_d_^-1	0	0	0.05	0.05	
_cVSetDiat_	_m_*_d_^-1	0	0	0.5	0.5	
_cVPUptMaxDiat_	_gP_*_gDW_^-1*_d_^-1	0	0	0.01	0.01	
_cAffPUptDiat_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cPDDiatMin_	_gP_*_gDW_^-1	0	0	0.0005	0.0005	
_cPDDiatMax_	_gP_*_gDW_^-1	0	0	0.005	0.005	
_cVNUptMaxDiat_	_gN_*_gDW_^-1*_d_^-1	0	0	0.07	0.07	
_cAffNUptDiat_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cNDDiatMin_	_gN_*_gDW_^-1	0	0	0.01	0.01	
_cNDDiatMax_	_gN_*_gDW_^-1	0	0	0.05	0.05	
_hSiAssDiat_	_gSi_*_m_^-3	0	0	0.09	0.09	
_cMuMaxGren_	_d_^-1	0	0	1.5	1.5	
_cTmOptGren_	_oC_	0	0	25	25	
_cSigTmGren_	_oC_	0	0	15	15	
_cExtSpGren_	_m_^2*_gDW_^-1	0	0	0.25	0.25	
_UseSteeleGren_	0	0	0	0	0	
_hLRefGren_	_J_*_s_^-1*_m_^-2	0	0	17	17	
_cLOptRefGren_	_J_*_s_^-1*_m_^-2	0	0	1000	1000	
_cChDGrenMin_	_gChl_*_gDW_^-1	0	0	0.01	0.01	
_cChDGrenMax_	_gChl_*_gDW_^-1	0	0	0.02	0.02	
_kDRespGren_	_d_^-1	0	0	0.075	0.075	
_kLossGren_	_d_^-1	0	0	0.25	0.25	
_kMortGrenW_	_d_^-1	0	0	0.01	0.01	
_kMortGrenS_	_d_^-1	0	0	0.05	0.05	
_cVSetGren_	_m_*_d_^-1	0	0	0.2	0.2	
_cVPUptMaxGren_	_gP_*_gDW_^-1*_d_^-1	0	0	0.01	0.01	
_cAffPUptGren_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cPDGrenMin_	_gP_*_gDW_^-1	0	0	0.0015	0.0015	
_cPDGrenMax_	_gP_*_gDW_^-1	0	0	0.015	0.015	
_cVNUptMaxGren_	_gN_*_gDW_^-1*_d_^-1	0	0	0.07	0.07	
_cAffNUptGren_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cNDGrenMin_	_gN_*_gDW_^-1	0	0	0.02	0.02	
_cNDGrenMax_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_hSiAssGren_	_gSi_*_m_^-3	0	0	0	0	
_cMuMaxBlue_	_d_^-1	0	0	0.6	0.6	
_cTmOptBlue_	_oC_	0	0	25	25	
_cSigTmBlue_	_oC_	0	0	12	12	
_cExtSpBlue_	_m_^2*_gDW_^-1	0	0	0.35	0.35	
_UseSteeleBlue_	0	0	0	1	1	
_cLOptRefBlue_	_J_*_s_^-1*_m_^-2	0	0	13.6	13.6	
_hLRefBlue_	_J_*_s_^-1*_m_^-2	0	0	1000	1000	
_cChDBlueMin_	_gChl_*_gDW_^-1	0	0	0.005	0.005	
_cChDBlueMax_	_gChl_*_gDW_^-1	0	0	0.015	0.015	
_cCyDBlueMin_	_gChl_*_gDW_^-1	0	0	0.004	0.004	
_cCyDBlueMax_	_gChl_*_gDW_^-1	0	0	0.06	0.06	
_kDRespBlue_	_d_^-1	0	0	0.03	0.03	
_kLossBlue_	_d_^-1	0	0	0.03	0.03	
_kMortBlueW_	_d_^-1	0	0	0.01	0.01	
_kMortBlueS_	_d_^-1	0	0	0.2	0.2	
_cNfixMaxBlue_	_ugN_*_mgChl_^-1*_d_^-1	0	0	60	60	
_cNfixDarkBlue_	_ugN_*_mgChl_^-1*_d_^-1	0	0	9.5	9.5	
_cAlphNfix_	(_J_*_m_^-2*_s_^-1)^-1	0	0	0.036	0.036	
_cDepthSurf_	_m_	0	0	0.01	0.01	
_cDBlueSurfMin_	_gDW_*_m_^-2	0	0	0.00001	0.00001	
_cStepPow_	0	0	0	20	20	
_cChlaThrBlue_	_mgChl_*_m_^-3	0	0	10	10	
_cVWindThrBlue_	_m_*_s_^-1	0	0	3	3	
_cTmThrBlue_	_oC_	0	0	15	15	
_cVFloMaxBlueW_	_m_*_d_^-1	0	0	10	10	
_cVSetBlue_	_m_*_d_^-1	0	0	0.06	0.06	
_cVPUptMaxBlue_	_gP_*_gDW_^-1*_d_^-1	0	0	0.04	0.04	
_cAffPUptBlue_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.8	0.8	
_cPDBlueMin_	_gP_*_gDW_^-1	0	0	0.0025	0.0025	
_cPDBlueMax_	_gP_*_gDW_^-1	0	0	0.025	0.025	
_cVNUptMaxBlue_	_gN_*_gDW_^-1*_d_^-1	0	0	0.07	0.07	
_cAffNUptBlue_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cNDBlueMin_	_gN_*_gDW_^-1	0	0	0.03	0.03	
_cNDBlueMax_	_gN_*_gDW_^-1	0	0	0.15	0.15	
_fFiJvMortHyp_	0	0	0	0	0	
_fFiJvEgesHyp_	0	0	0	0.1	0.1	
_fFiJvExcrHyp_	0	0	0	0.1	0.1	
_fFiAdMortHyp_	0	0	0	0	0	
_fFiAdEgesHyp_	0	0	0	0.9	0.9	
_fFiAdExcrHyp_	0	0	0	0.9	0.9	
_fPiscMortHyp_	0	0	0	0	0	
_fPiscEgesHyp_	0	0	0	0.5	0.5	
_fPiscExcrHyp_	0	0	0	0.5	0.5	
_hSiAssBlue_	_gSi_*_m_^-3	0	0	0	0	
_cDBentIn_	_gDW_*_m_^-2	0	0	0.01	0.01	
_kMigrBent_	_d_^-1	0	0	0.001	0.001	
_kMigrFish_	_d_^-1	0	0	0.001	0.001	
_cDFiJvIn_	_gDW_*_m_^-2	0	0	0.005	0.005	
_cDFiAdIn_	_gDW_*_m_^-2	0	0	0.005	0.005	
_kHarvFishWin_	_d_^-1	0	0	0	0	
_kHarvFishSum_	_d_^-1	0	0	0	0	
_cDPiscIn_	_gDW_*_m_^-2	0	0	0.001	0.001	
_kMigrPisc_	_d_^-1	0	0	0.001	0.001	
_kHarvPiscWin_	_d_^-1	0	0	0	0	
_kHarvPiscSum_	_d_^-1	0	0	0	0	
_cFiltMax_	_m_^3*_gDW_^-1*_d_^-1	3	6	4.5	4.5	
_hFilt_	_gDW_*_m_^-3	0	0	1	1	
_cDCarrZoo_	_gDW_*_m_^-3	0	0	25	25	
_cPrefDiat_	0	0	0	0.75	0.75	
_cPrefGren_	0	0	0	0.75	0.75	
_cPrefBlue_	0	0	0	0.125	0.125	
_cPrefDet_	0	0	0	0.25	0.25	
_cPrefBlueSurf_	0	0	0	0.125	0.125	
_fDAssZoo_	0	0	0	0.35	0.35	
_fDissEgesZoo_	0	0	0	0.25	0.25	
_kDRespZoo_	_d_^-1	0	0	0.15	0.15	
_kMortZoo_	_d_^-1	0	0	0.04	0.04	
_fDissMortZoo_	0	0	0	0.1	0.1	
_cTmOptZoo_	_oC_	0	0	25	25	
_cSigTmZoo_	_oC_	0	0	13	13	
_cDCarrBent_	_gDW_*_m_^-2	0	0	20	20	
_kDAssBent_	_d_^-1	0	0	0.1	0.1	
_hDFoodBent_	_gDW_*_m_^-2	0	0	200	200	
_fDAssBent_	0	0	0	0.3	0.3	
_fDissEgesBent_	0	0	0	0.25	0.25	
_kDRespBent_	_d_^-1	0	0	0.005	0.005	
